"repo","commit","insertion","deletion"
"abbyyR","231","209261","145986"
"ABCoptim","46","8878","3251"
"abctools","39","3631","122"
"ABHgenotypeR","29","5990","2944"
"abjutils","152","4303","1695"
"accSDA","141","11271","4246"
"ACMEeqtl","75","5485","3261"
"ACNE","60","6096","2223"
"acnr","67","4514","1586"
"ActisoftR","268","9640","2565"
"adaptMCMC","19","1537","254"
"adaptMT","119","9611","4985"
"AdaSampling","26","4756","2023"
"addinslist","200","4056","879"
"additivityTests","30","2204","663"
"addreg","126","6298","2006"
"adeba","14","4955","439"
"adegenet","803","140588","21047"
"AdhereR","237","87176","46974"
"adjclust","546","33710","8498"
