"repo","commit","insertion","deletion"
"abbyyR","231","209261","145986"
"ABCoptim","46","8878","3251"
"abctools","39","3631","122"
"ABHgenotypeR","29","5990","2944"
"abjutils","152","4303","1695"
"accSDA","141","11271","4246"
"ACMEeqtl","75","5485","3261"
"ACNE","60","6096","2223"
"acnr","67","4514","1586"
"ActisoftR","268","9640","2565"
"adaptMCMC","19","1537","254"
"adaptMT","119","9611","4985"
"AdaSampling","26","4756","2023"
"addinslist","200","4056","879"
"additivityTests","30","2204","663"
"addreg","126","6298","2006"
"adeba","14","4955","439"
"adegenet","803","140588","21047"
"AdhereR","237","87176","46974"
"adjclust","546","33710","8498"
"adjustedcranlogs","17","428","45"
"AdMit","25","6436","2478"
"admixturegraph","391","54670","32579"
"ADMMsigma","164","35870","15249"
"adnuts","269","23436","8972"
"ADPclust","17","4279","2028"
"adpss","30","5752","558"
"afCEC","29","1803183","808031"
"afex","374","36501","18295"
"afpt","41","4202","633"
"aftgee","68","13740","764"
"AGD","21","52683","2754"
"AGHmatrix","210","13600","3866"
"AGread","70","1298167","43313"
"agsemisc","4","1318","15"
"ahnr","75","53959","2965"
"AhoCorasickTrie","6","1662","31"
"ahp","127","15463","11704"
"aire.zmvm","398","11356","4473"
"airportr","22","1685","210"
"ajv","15","1091","126"
"ALA4R","1011","32320","15769"
"albopictus","18","1956","604"
"aLFQ","4","4403","252"
"alfred","66","1966","923"
"AlgDesign","34","15524","1244"
"alignfigR","54","1705","968"
"alluvial","137","2834","862"
"alpaca","98","10107","550"
"alphabetr","90","13676","13128"
"AlphaVantageClient","48","1777","373"
"alphavantager","21","818","102"
"alterryx","52","3630","1157"
"ambient","7","4935","97"
"ammistability","121","26876","4957"
"AmmoniaConcentration","3","2000","68"
"AmyloGram","51","8844","8023"
"AnaCoDa","17","304590","5976"
"analogsea","555","23390","11655"
"analogue","641","47431","11864"
"analogueExtra","13","797","42"
"analysisPipelines","181","77140","24611"
"angstroms","174","19601","3038"
"anim.plots","132","26769","15963"
"ANN2","110","17393","12587"
"AnnotationBustR","262","8488","2218"
